id,angular_moment,contrast,variance,idm,sum_average,entropy,sum_variance,sum_entropy,difference_variance,difference_entropy
wl-00_2,4478073338,15724854,3.60E+18,76983.04784,11094278,120515.1317,1.59E+19,-477460.6467,4.13E+16,493931.821
wl-00_3,4462926430,16592940,3.25E+18,76512.43501,10569178,120192.5055,1.45E+19,-476922.5805,4.31E+16,490022.1714
wl-00_4,3776767854,15492954,4.49E+18,75159.01468,12287946,122895.889,1.96E+19,-459763.5517,4.28E+16,496501.5714
wq-00_1,7180251658,18308298,2.79E+18,92674.64835,9477446,127049.7478,1.16E+19,-514766.8851,3.54E+16,546300.7343
wq-00_2,7445716758,19313066,2.37E+18,93482.93245,8748095,126705.2491,9.91E+18,-519644.1762,3.50E+16,546834.2354
wq-00_3,7476993750,20667042,1.63E+18,92633.89244,7388715,122061.2867,7.07E+18,-527904.1465,2.96E+16,530908.0732
wq-00_4,7060590280,18202586,2.54E+18,92264.26978,9066905,126746.1184,1.06E+19,-512973.7996,3.53E+16,544308.5518
wyc-00_1,6629803354,17526626,2.59E+18,89597.02046,9031975,130505.8307,1.06E+19,-502469.2893,3.87E+16,551206.1041
wyc-00_2,6641029028,18842160,2.07E+18,89826.73645,8157935,128085.831,8.62E+18,-506120.754,4.02E+16,542993.5977
wyc-00_3,6070538878,17413838,2.81E+18,88245.56954,9415070,130616.9946,1.15E+19,-493713.9056,4.24E+16,547130.1858
wyc-00_4,5507609972,14111384,2.95E+18,85694.5607,9615587,131854.2832,1.20E+19,-483870.1619,3.61E+16,546480.7123
xch-00_1,6024415834,18331952,3.39E+18,87525.01008,10494619,126512.6106,1.43E+19,-496168.1629,3.95E+16,533592.8396
xch-00_2,6594741732,17846284,3.31E+18,89461.79158,10352764,126795.4534,1.39E+19,-505031.0779,3.79E+16,537474.3213
xch-00_3,6369979552,16044492,2.24E+18,87227.78527,8675360,122154.4921,9.75E+18,-508417.4574,3.09E+16,517692.2187
xch-00_4,6739661872,18523634,3.29E+18,90306.44625,10309797,127319.2341,1.38E+19,-506721.9748,3.74E+16,541304.6349
xxj-00_1,7504630748,18866772,2.26E+18,94135.15254,8508014,128026.4565,9.38E+18,-519890.4547,3.79E+16,553181.8996
xxj-00_2,5529290438,14506518,3.11E+18,89800.62021,9931561,129527.3499,1.28E+19,-488502.4279,3.41E+16,548895.8821
xxj-00_3,7173560186,18844328,2.13E+18,92489.00527,8267166,127775.3917,8.85E+18,-514310.1665,3.93E+16,547991.7343
xxj-00_4,7855619196,18114302,2.51E+18,95362.33066,8945694,128403.5971,1.04E+19,-524045.0505,3.62E+16,556858.6731
yjf-00_1,5700991950,19530240,2.82E+18,84714.109,9715203,122817.083,1.22E+19,-496231.3695,3.77E+16,515405.0823
yjf-00_2,5652363160,19153160,2.76E+18,84108.53087,9653862,121601.0138,1.21E+19,-497026.9735,3.53E+16,510676.6229
yjf-00_3,5829869470,18800124,2.53E+18,85920.36034,9271215,120862.4105,1.11E+19,-501877.0506,3.27E+16,512138.0586
yjf-00_4,5653127232,18700836,2.95E+18,84841.92015,9915724,123288.0064,1.27E+19,-494289.4336,3.63E+16,516816.6311
zc-00_1,3817982538,15914150,6.81E+18,77669.44214,14678448,130740.2876,2.79E+19,-450775.0483,5.37E+16,529287.4618
zc-00_2,4584932536,17570142,6.50E+18,79978.66045,14387226,130019.6752,2.68E+19,-464619.8838,5.41E+16,529524.5113
zc-00_3,4502886994,17021698,6.26E+18,80017.48394,14137446,129271.8654,2.59E+19,-465895.8285,5.27E+16,529709.4782
zc-00_4,3809233712,16173148,5.65E+18,75642.82031,13535677,128041.9946,2.37E+19,-452248.7361,5.08E+16,513325.3076
zdx-00_1,2657912888,14694158,6.42E+18,77955.04468,14293207,129852.4346,2.65E+19,-437109.202,4.13E+16,527235.1568
zdx-00_2,5317649716,20189090,4.11E+18,83471.6857,11639429,124774.3322,1.75E+19,-485966.2965,4.28E+16,518314.4473
zdx-00_3,5419660324,17548106,4.25E+18,84394.93429,11752883,126549.6615,1.79E+19,-485197.9585,4.16E+16,527216.3473
zdx-00_4,5272293438,18337360,4.85E+18,84429.05254,12473632,128315.2534,2.02E+19,-480562.1242,4.62E+16,533541.8716
zjg-00_1,5945665956,14804920,3.52E+18,89656.26741,10444741,132902.9505,1.41E+19,-491029.8437,3.89E+16,559314.6224
zjg-00_2,7388858430,20484544,9.05E+17,92399.46026,5509403,122066.6453,3.93E+18,-530105.8262,3.37E+16,531250.8372
zjg-00_3,7301731254,15643514,2.98E+18,94417.23884,9654106,131233.1125,1.21E+19,-514466.6792,3.69E+16,565167.4502
zjg-00_4,6468975018,13890502,3.30E+18,91112.52003,10150010,132305.9703,1.33E+19,-500256.764,3.20E+16,560242.9967
zyf-00_1,6615681086,22451342,1.78E+18,86944.33501,7863447,118047.5448,8.01E+18,-519413.5599,3.22E+16,504761.9836
zyf-00_2,6141481234,19503416,1.91E+18,84903.32447,8115326,118863.1731,8.53E+18,-509939.9018,3.21E+16,503326.2365
zyf-00_3,6220472284,19272186,1.60E+18,85352.92706,7453713,117922.2807,7.20E+18,-512868.5461,2.97E+16,500448.0539
zyf-00_4,6734477592,22028178,1.69E+18,86877.63553,7679978,117498.4188,7.64E+18,-521764.6015,3.15E+16,502749.6722
